# in; out; diff; current
0;0;0;0
0.0977517;0.083089;0.0146628;8.3089e-05
0.195503;0.175953;0.0195503;0.000175953
0.293255;0.268817;0.0244379;0.000268817
0.391007;0.361681;0.0293255;0.000361681
0.488759;0.454545;0.0342131;0.000454545
0.58651;0.54741;0.0391007;0.00054741
0.684262;0.640274;0.0439883;0.000640274
0.782014;0.733138;0.0488759;0.000733138
0.879765;0.826002;0.0537634;0.000826002
0.977517;0.918866;0.058651;0.000918866
1.07527;1.01173;0.0635386;0.00101173
1.17302;1.10459;0.0684262;0.00110459
1.27077;1.19746;0.0733138;0.00119746
1.36852;1.29032;0.0782014;0.00129032
1.46628;1.38319;0.083089;0.00138319
1.56403;1.47605;0.0879765;0.00147605
1.66178;1.56891;0.0928641;0.00156891
1.75953;1.66178;0.0977517;0.00166178
1.85728;1.75464;0.102639;0.00175464
1.95503;1.84751;0.107527;0.00184751
2.05279;1.94037;0.112414;0.00194037
2.15054;2.03324;0.117302;0.00203324
2.24829;2.1261;0.12219;0.0021261
2.34604;2.21896;0.127077;0.00221896
2.44379;2.31183;0.131965;0.00231183
2.54154;2.40469;0.136852;0.00240469
2.6393;2.49756;0.14174;0.00249756
2.73705;2.59042;0.146628;0.00259042
2.8348;2.68817;0.146628;0.00268817
2.93255;2.77615;0.156403;0.00277615
3.0303;2.86901;0.16129;0.00286901
3.12805;2.96188;0.166178;0.00296188
3.22581;3.05474;0.171065;0.00305474
3.32356;3.14761;0.175953;0.00314761
3.42131;3.24047;0.180841;0.00324047
3.51906;3.33333;0.185728;0.00333333
3.61681;3.4262;0.190616;0.0034262
3.71457;3.51906;0.195503;0.00351906
3.81232;3.61193;0.200391;0.00361193
3.91007;3.70479;0.205279;0.00370479
4.00782;3.79765;0.210166;0.00379765
4.10557;3.89541;0.210166;0.00389541
4.20332;3.98338;0.219941;0.00398338
4.30108;4.07625;0.224829;0.00407625
4.39883;4.16911;0.229717;0.00416911
4.49658;4.26197;0.234604;0.00426197
4.59433;4.35484;0.239492;0.00435484
4.69208;4.4477;0.244379;0.0044477
4.78983;4.54057;0.249267;0.00454057
4.88759;4.63343;0.254154;0.00463343
4.98534;4.7263;0.259042;0.0047263
