# in; out; diff; current
0;0;0;0
0.0977517;0.0782014;0.0195503;7.82014e-05
0.195503;0.171065;0.0244379;0.000171065
0.293255;0.259042;0.0342131;0.000259042
0.391007;0.347019;0.0439883;0.000347019
0.488759;0.434995;0.0537634;0.000434995
0.58651;0.522972;0.0635386;0.000522972
0.684262;0.610948;0.0733138;0.000610948
0.782014;0.703812;0.0782014;0.000703812
0.879765;0.791789;0.0879765;0.000791789
0.977517;0.879765;0.0977517;0.000879765
1.07527;0.967742;0.107527;0.000967742
1.17302;1.06061;0.112414;0.00106061
1.27077;1.14858;0.12219;0.00114858
1.36852;1.23656;0.131965;0.00123656
1.46628;1.32942;0.136852;0.00132942
1.56403;1.4174;0.146628;0.0014174
1.66178;1.50538;0.156403;0.00150538
1.75953;1.59824;0.16129;0.00159824
1.85728;1.68133;0.175953;0.00168133
1.95503;1.76931;0.185728;0.00176931
2.05279;1.85728;0.195503;0.00185728
2.15054;1.95015;0.200391;0.00195015
2.24829;2.03812;0.210166;0.00203812
2.34604;2.1261;0.219941;0.0021261
2.44379;2.21896;0.224829;0.00221896
2.54154;2.30694;0.234604;0.00230694
2.6393;2.39492;0.244379;0.00239492
2.73705;2.48778;0.249267;0.00248778
2.8348;2.57576;0.259042;0.00257576
2.93255;2.66373;0.268817;0.00266373
3.0303;2.7566;0.273705;0.0027566
3.12805;2.84457;0.28348;0.00284457
3.22581;2.93255;0.293255;0.00293255
3.32356;3.02053;0.30303;0.00302053
3.42131;3.1085;0.312805;0.0031085
3.51906;3.20137;0.317693;0.00320137
3.61681;3.28935;0.327468;0.00328935
3.71457;3.38221;0.332356;0.00338221
3.81232;3.4653;0.347019;0.0034653
3.91007;3.55327;0.356794;0.00355327
4.00782;3.64614;0.361681;0.00364614
4.10557;3.73412;0.371457;0.00373412
4.20332;3.82209;0.381232;0.00382209
4.30108;3.91007;0.391007;0.00391007
4.39883;3.99804;0.400782;0.00399804
4.49658;4.09091;0.40567;0.00409091
4.59433;4.17889;0.415445;0.00417889
4.69208;4.27175;0.420332;0.00427175
4.78983;4.35973;0.430108;0.00435973
4.88759;4.4477;0.439883;0.0044477
4.98534;4.53568;0.449658;0.00453568
