# in0; in1; out0; out1; out2; out3; currentDrain
0;3;3.00098;2.98631;0;0;9.77517e-05
0.5;3;3.00098;2.55621;0.483871;0.493646;0.00296514
1;3;2.99609;0.327468;0.97263;0.997067;0.0177908
1.5;3;2.99609;0.200391;1.46628;1.50049;0.018638
2;3;2.99609;0.175953;1.95992;2.00391;0.0188009
2.5;3;2.99609;0.166178;2.45357;2.50733;0.0188661
3;3;2.99609;0.16129;2.94233;3.00587;0.0188987
3.5;3;3.00098;0.156403;3.43597;3.50929;0.0189638
4;3;2.99609;0.156403;3.92473;4.01271;0.0189312
4.5;3;2.99609;0.151515;4.41349;4.51124;0.0189638
5;3;2.99609;0.151515;4.90225;5;0.0189638
