# in0; in1; out0; out1; out2; out3; currentDrain
0;0.7;0;0;0.684262;0.694037;0
0.5;0.7;0.493646;0.058651;0.679374;0.698925;0.00289997
1;0.7;0.99218;0.151515;0.684262;0.698925;0.00560443
1.5;0.7;1.49071;0.366569;0.684262;0.698925;0.0074943
2;0.7;1.99413;0.816227;0.679374;0.698925;0.00785272
2.5;0.7;2.49756;1.30499;0.684262;0.698925;0.00795047
3;0.7;3.00098;1.79863;0.684262;0.698925;0.00801564
3.5;0.7;3.5044;2.30694;0.679374;0.694037;0.00798306
4;0.7;4.00782;2.80059;0.679374;0.698925;0.00804822
4.5;0.7;4.50635;3.29912;0.684262;0.694037;0.00804822
5;0.7;5;3.79765;0.679374;0.698925;0.00801564
