# in0; in1; out0; out1; out2; out3; currentDrain
0;0.4;0;0;0.386119;0.391007;0
0.5;0.4;0.488759;0.278592;0.381232;0.391007;0.00140111
1;0.4;0.99218;0.777126;0.381232;0.391007;0.00143369
1.5;0.4;1.4956;1.27077;0.386119;0.391007;0.00149886
2;0.4;1.99413;1.77908;0.381232;0.391007;0.00143369
2.5;0.4;2.49756;2.27273;0.386119;0.391007;0.00149886
3;0.4;3.00098;2.77615;0.381232;0.391007;0.00149886
3.5;0.4;3.5044;3.27957;0.381232;0.391007;0.00149886
4;0.4;4.00782;3.7781;0.386119;0.391007;0.00153144
4.5;0.4;4.50147;4.27664;0.386119;0.395894;0.00149886
5;0.4;5;4.78006;0.386119;0.391007;0.00146628
