# in0; in1; out0; out1; out2; out3; currentDrain
0;0.6;0;0;0.576735;0.596285;0
0.5;0.6;0.493646;0.083089;0.581623;0.591398;0.00273705
1;0.6;0.99218;0.30303;0.581623;0.591398;0.00459433
1.5;0.6;1.49071;0.762463;0.581623;0.591398;0.004855
2;0.6;1.99413;1.26588;0.581623;0.591398;0.004855
2.5;0.6;2.49756;1.75953;0.581623;0.591398;0.00492017
3;0.6;2.99609;2.25806;0.581623;0.591398;0.00492017
3.5;0.6;3.5044;2.76149;0.581623;0.591398;0.00495275
4;0.6;4.00293;3.26002;0.581623;0.591398;0.00495275
4.5;0.6;4.50147;3.75855;0.581623;0.591398;0.00495275
5;0.6;5;4.25709;0.581623;0.591398;0.00495275
