# in0; in1; out0; out1; out2; out3; currentDrain
0;0.8;0;0;0.777126;0.796676;0
0.5;0.8;0.488759;0.0488759;0.777126;0.796676;0.00293255
1;0.8;0.987292;0.112414;0.777126;0.791789;0.00583252
1.5;0.8;1.49071;0.200391;0.777126;0.791789;0.00860215
2;0.8;1.99413;0.371457;0.777126;0.796676;0.0108179
2.5;0.8;2.49756;0.762463;0.777126;0.796676;0.0115673
3;0.8;2.99609;1.25611;0.777126;0.796676;0.0115999
3.5;0.8;3.5044;1.74976;0.777126;0.796676;0.0116976
4;0.8;4.00293;2.2434;0.777126;0.796676;0.0117302
4.5;0.8;4.50635;2.74194;0.782014;0.791789;0.0117628
5;0.8;5;3.23558;0.777126;0.791789;0.0117628
