# in0; in1; out0; out1; out2; out3; currentDrain
0;2.5;0;0;2.26784;2.49756;0
0.5;2.5;0.483871;0.293255;2.26784;2.49756;0.000340385
1;2.5;0.982405;0.782014;2.26784;2.49756;0.000357841
1.5;2.5;1.48583;1.27566;2.26784;2.49756;0.000375297
2;2.5;1.98925;1.77419;2.26784;2.49756;0.000384025
2.5;2.5;2.49267;2.26784;2.27273;2.49756;0.00040148
3;2.5;2.9912;2.76149;2.26784;2.49756;0.000410208
3.5;2.5;3.49951;3.26002;2.26784;2.49756;0.000427664
4;2.5;3.99316;3.75367;2.27273;2.49756;0.000427664
4.5;2.5;4.49169;4.24731;2.27273;2.49756;0.000436392
5;2.5;4.99511;4.73607;2.27273;2.49756;0.000462575
