# in0; in1; out0; out1; out2; out3; currentDrain
0;0.2;0;0;0.185728;0.190616;0
0.5;0.2;0.488759;0.44477;0.185728;0.190616;0.000293255
1;0.2;0.987292;0.943304;0.185728;0.190616;0.000293255
1.5;0.2;1.4956;1.44673;0.185728;0.190616;0.000325839
2;0.2;1.99413;1.94526;0.190616;0.190616;0.000325839
2.5;0.2;2.50244;2.44379;0.185728;0.190616;0.000391007
3;0.2;3.00098;2.94721;0.185728;0.190616;0.000358423
3.5;0.2;3.5044;3.45064;0.185728;0.190616;0.000358423
4;0.2;4.00293;3.94917;0.190616;0.190616;0.000358423
4.5;0.2;4.50635;4.4477;0.185728;0.195503;0.000391007
5;0.2;5;4.95112;0.185728;0.190616;0.000325839
