# in0; in1; out0; out1; out2; out3; currentDrain
0;2;0;0;1.81329;1.99413;0
0.5;2;0.483871;0.474096;1.80841;1.99413;1.74557e-05
1;2;0.982405;0.967742;1.81329;1.99413;2.61835e-05
1.5;2;1.48583;1.46139;1.80841;1.99413;4.36392e-05
2;2;1.98925;1.95992;1.80841;1.99413;5.2367e-05
2.5;2;2.49267;2.45357;1.81329;1.99413;6.98227e-05
3;2;2.9912;2.94721;1.81329;1.99413;7.85505e-05
3.5;2;3.49951;3.44575;1.81329;1.99413;9.60061e-05
4;2;3.99316;3.93939;1.81329;1.99413;9.60061e-05
4.5;2;4.49169;4.42815;1.81329;1.99413;0.000113462
5;2;4.99511;4.92669;1.81329;1.99413;0.00012219
