# in0; in1; out0; out1; out2; out3; currentDrain
0;0.9;0;0;0.879765;0.894428;0
0.5;0.9;0.493646;0.0391007;0.879765;0.899316;0.0030303
1;0.9;0.99218;0.0928641;0.874878;0.899316;0.00599544
1.5;0.9;1.49071;0.151515;0.879765;0.899316;0.00892799
2;0.9;1.99413;0.234604;0.879765;0.899316;0.0117302
2.5;0.9;2.49756;0.347019;0.874878;0.894428;0.0143369
3;0.9;2.99609;0.601173;0.874878;0.899316;0.0159661
3.5;0.9;3.5044;1.05083;0.879765;0.899316;0.0163571
4;0.9;4.00293;1.53959;0.879765;0.894428;0.0164223
4.5;0.9;4.50147;2.03812;0.879765;0.899316;0.0164223
5;0.9;5;2.53177;0.874878;0.894428;0.0164549
