# in0; in1; out0; out1; out2; out3; currentDrain
0;1;0;0;0.899316;0.987292;0
0.5;1;0.483871;0.474096;0.894428;0.987292;1.74557e-05
1;1;0.982405;0.967742;0.899316;0.987292;2.61835e-05
1.5;1;1.48094;1.46139;0.899316;0.987292;3.49113e-05
2;1;1.98925;1.95992;0.894428;0.987292;5.2367e-05
2.5;1;2.49267;2.45357;0.899316;0.987292;6.98227e-05
3;1;2.9912;2.9521;0.899316;0.987292;6.98227e-05
3.5;1;3.49951;3.45064;0.894428;0.987292;8.72783e-05
4;1;3.99316;3.93939;0.899316;0.987292;9.60061e-05
4.5;1;4.49169;4.42815;0.899316;0.987292;0.000113462
5;1;4.99511;4.92669;0.899316;0.987292;0.00012219
