# in0; in1; out0; out1; out2; out3; currentDrain
0;4;4.00293;3.98827;0;0;9.77517e-05
0.5;4;4.00293;3.56305;0.483871;0.498534;0.00293255
1;4;4.00293;0.718475;0.97263;0.997067;0.0218964
1.5;4;4.00293;0.278592;1.46628;1.50049;0.0248289
2;4;4.00293;0.239492;1.95992;2.00391;0.0250896
2.5;4;4.00293;0.224829;2.44868;2.50733;0.0251874
3;4;4.00293;0.219941;2.94233;3.00587;0.0252199
3.5;4;4.00293;0.215054;3.43597;3.50929;0.0252525
4;4;4.00293;0.210166;3.92473;4.01271;0.0252851
4.5;4;4.00293;0.205279;4.41349;4.51124;0.0253177
5;4;4.00293;0.205279;4.90225;5;0.0253177
