# in0; in1; out0; out1; out2; out3; currentDrain
0;2.2;0;0;1.99413;2.19453;0
0.5;2.2;0.483871;0.464321;1.99413;2.19453;3.49113e-05
1;2.2;0.982405;0.957967;1.99413;2.19453;4.36392e-05
1.5;2.2;1.48583;1.45161;1.99413;2.19453;6.10948e-05
2;2.2;1.98925;1.95015;1.99413;2.19453;6.98227e-05
2.5;2.2;2.49267;2.44868;1.99413;2.19453;7.85505e-05
3;2.2;2.9912;2.94233;1.99413;2.19453;8.72783e-05
3.5;2.2;3.49951;3.44086;1.99413;2.19453;0.000104734
4;2.2;3.99316;3.92962;1.99413;2.19453;0.000113462
4.5;2.2;4.49169;4.41838;1.99413;2.19453;0.000130917
5;2.2;4.99511;4.91691;1.99413;2.19453;0.000139645
