# in0; in1; out0; out1; out2; out3; currentDrain
0;2.7;0;0;2.45357;2.69795;0
0.5;2.7;0.483871;0.0439883;2.45357;2.69795;0.000785505
1;2.7;0.982405;0.166178;2.45357;2.69795;0.00145755
1.5;2.7;1.48094;0.576735;2.45357;2.69795;0.00161465
2;2.7;1.98925;1.07038;2.45357;2.69795;0.00164083
2.5;2.7;2.49267;1.56403;2.45357;2.69795;0.00165829
3;2.7;2.9912;2.0479;2.45357;2.69795;0.00168447
3.5;2.7;3.49462;2.54643;2.45357;2.69795;0.0016932
4;2.7;3.99316;3.04985;2.45357;2.69795;0.00168447
4.5;2.7;4.49169;3.53861;2.45357;2.69795;0.00170193
5;2.7;4.95112;3.62659;2.24829;2.70283;0.00236524
