# freq [Hz], current [mA], power [mW]
0,         0.0, 0
50000,     0.002, 0.01
100000,    0.005, 0.025
200000,    0.009, 0.045
300000,    0.014, 0.07
400000,    0.019, 0.095
500000,    0.023, 0.115
600000,    0.028, 0.14
700000,    0.032, 0.16
800000,    0.037, 0.185
900000,    0.042, 0.21
1000000,   0.045, 0.225
