# freq [Hz], current [mA], power [mW]
0,         0.02, 0.1
50000,     0.04, 0.2
100000,    0.05, 0.25
200000,    0.06, 0.3
300000,    0.08, 0.4
400000,    0.10, 0.5
500000,    0.11, 0.55
600000,    0.14, 0.7
700000,    0.15, 0.75
800000,    0.18, 0.9
900000,    0.19, 0.95
1000000,   0.21, 1.05
