# freq [Hz], current [mA], power [mW]
0,        0.000, 0
50000,    0.002, 0.01
100000,   0.005, 0.025
200000,   0.010, 0.05
300000,   0.015, 0.075
400000,   0.019, 0.095
500000,   0.024, 0.12
600000,   0.029, 0.145
700000,   0.034, 0.17
800000,   0.039, 0.195
900000,   0.044, 0.22
1000000,  0.049, 0.245
