# freq [Hz], current [mA], power [mW]
0,              0.000, 0
100,            1.300, 6.5
50000,          1.325, 6.625
100000,         1.354, 6.77
200000,         1.361, 6.805
300000,         1.356, 6.78
400000,         1.361, 6.805
500000,         1.370, 6.85
600000,         1.380, 6.9
700000,         1.392, 6.96
800000,         1.404, 7.02
900000,         1.416, 7.08
1000000,        1.435, 7.175
