# freq [Hz], current [mA], power [mW]
0,          0.0, 0
50000,      0.005, 0.025
100000,     0.010, 0.05
200000,     0.019, 0.095
300000,     0.029, 0.145
400000,     0.038, 0.19
500000,     0.047, 0.235
600000,     0.057, 0.285
700000,     0.066, 0.33
800000,     0.076, 0.38
900000,     0.085, 0.425
1000000,    0.095, 0.475
